Method,Ground Truth Keywords,Extracted Keywords
Mistral7B,"['metal nanoparticles', 'biomedical applications', 'volume ratio', 'thermal stability', 'Gold nanoparticles (GNPs)', 'cell types', 'bioimaging', 'gene delivery', 'drug delivery', 'therapeutic applications', 'diagnostic applications', 'amalgamation']","['metal nanoparticles', 'biomedical applications', 'small size', 'volume ratio', 'extensive thermal stability', 'gold nanoparticles (gnps)', 'synthesis', 'functionalization', 'less toxicity', 'ease detection', 'targeted']"
Mistral7B,"['Half-Heusler (HH) alloys', 'thermoelectric (TE) materials', 'industrial waste heat sources', 'nanostructuing', 'HH alloys', 'HH nanocomposites', 'structure', 'HH nanocomposites']","['half-heusler (hh) alloys', 'thermoelectric (te) materials', 'temperature range', 'close temperature range', 'industrial waste heat sources', 'nanostructuring', 'past years', 'nanocomposites', '']"
Mistral7B,"['hybrid materials', 'structural properties', 'functional properties', 'nanofillers', 'polymer matrices', 'polyhedral oligomeric silsesquioxane (POSS) nanoparticles', 'polymeric materials', 'reinforce polymers', 'POSS-containing polymer nanocomposites', 'matrices', 'chemical cross-linking', 'physical blending', 'nanocomposites', 'surface functional groups', 'POSS concentration']","['hybrid materials', 'nanofillers', 'polymer matrices', 'nanoparticles', 'polyhedral oligomeric silsesquioxane (POSS)', 'nanometer size', 'ease particles incorporated', 'polymeric materials', 'unique capability']"
Mistral7B,"['one dimensional polyaniline nanowire', 'electrically conducting polymer', 'active layer', 'sensors', 'conductivity', 'chemicalspecies', 'biological species', 'polyaniline nanowires', 'chemical structures', 'redox chemistry', 'synthesis', 'chemiresistive sensors', 'conductometric sensors', 'polyaniline nanowires', 'polyaniline nanowire-based sensors']","['one dimensional polyaniline nanowires', 'electrically conducting polymer', 'active layer sensors', 'conductivity change', 'chemical biological species', 'review', 'basic properties polyaniline nanowires', 'chemical structures', 'redox chemistry', '']"
Mistral7B,"['conducting polymers', 'functional organic materials', 'electronic devices', 'optical devices', 'nanotechnology', 'conducting polymer nanomaterials', 'synthesis methods', 'solid-phase template synthesis', ' molecular template synthesis', 'template-free synthesis', 'nanostructured conducting polymers', 'surface area', 'small dimensions', 'physical properties', 'sensor devices', 'sensitivity', 'chemical species', 'biological species', 'external stimuli', 'sensors', 'selectivity', 'stability']","['conducting polymers', 'next-generation electronic optical devices', 'advances nanotechnology', 'nanomaterials', 'synthesis methods', 'solid-phase template synthesis', 'molecular template synthesis', 'template-free synthesis']"
Mistral7B,"['magnetic nanoparticles', 'substrate', 'homogeneous inorganic', 'organic containing catalysts', 'nanocatalytic systems', 'immobilisation', 'homogeneous catalysts', 'magnetic nanoparticles', 'magnetic core shell nanostructures', 'silica coated magnetic nanoparticles', 'polymer coated magnetic nanoparticles', 'substrates', 'catalyst immobilisation', 'magnetic nanoparticles bound', 'inorganic catalytic mesoporous structures', 'metal organic frameworks', 'catalytically active small organic molecules', 'polymers', 'binding', 'enzymes', 'magnetic nanocomposites', 'enzymatic catalysis', 'catalytic systems', 'immobilised']","['magnetic nanoparticles', 'nanocatalytic systems', 'homogeneous catalysts', 'substrates', 'catalyst immobilization', 'magnetic core shell nanostructures', 'silica polymer coated magnetic nanoparticles']"
Mistral7B,"['graphene', 'two dimensional one atom thick allotrope', 'allotrope', 'carbon', 'crystal structure', 'electronic characteristics', 'charge transport behavior', 'optical clarity', 'physical properties', 'mechanical properties', 'thermal conductivity', 'semiconductor', 'optoelectronics', 'printed electronics', 'conducting material', 'band-gap structure', 'electrode materials', 'optoelectronic devices', 'post-silicon electronics', 'modulation', 'electrical properties', 'optical properties', 'zero band gap graphene', 'doping', 'hybridization', 'work function', 'surface modification']","['graphene', 'two dimensional', 'one atom thick', 'allotrope', 'carbon', 'crystal structure', 'electronic characteristics', 'charge transport behavior', 'optical clarity', 'physical & mechanical properties', 'thermal conductivity', 'unpre']"
Mistral7B,"['localized magnetic hyperthermia', 'magnetic nanoparticles (MNPs)', 'magnetic fields', 'power dissipation', 'heating efficiency', 'amplitude', 'frequency', 'magnetic fiel', 'structural properties', 'magnetic properties', 'surface anisotropy', 'interface exchange anisotropy', 'dipolar interactions', 'superparamagnetic', 'temperature', 'anisotropy', 'magnetization', 'self-regulated hyperthermia', 'magnetic hyperthermia']","['localized magnetic hyperthermia', 'magnetic nanoparticles (MNPs)', 'small magnetic fields', 'promising tool', 'treating small deep-seated tumors', 'method', 'applicable', 'amount MNPs used', '']"
Mistral7B,"['ceramic nanocomposites', 'nanocomposite structures', 'nanoscale structure', 'bulk properties', 'performing composite materials', 'nanostructured features', 'sintered composites', 'powder synthesis', 'sintering', 'nanostructured ceramics', 'structure', 'property', 'grain-size', 'materials properties', 'nanocrystalline second-phases', 'mechanical properties', 'ordinary grain sized ceramics', 'nanocomposite ceramic powders', 'microstructure', 'sintered ceramics']","['ceramic nanocomposites', 'nanostructured ceramics', 'nanoscale structure', 'bulk properties', 'desired nanostructured features', 'sintered composites', 'manufacturing', 'powder synthesis', 'sintering']"
Mistral7B,"['nanoparticles', 'metal oxide nanoparticles', 'cytotoxicity', 'normal cells', 'nanoparticle', 'Zinc oxide nanoparticles', 'cytotoxic effects', 'cobalt oxide', 'iron oxide', 'copper oxide', 'reactive oxygen species', 'apoptosis', 'necrosis', 'metal oxide nanoparticles']","['nanoparticles', 'cancer therapy', 'metal oxide nanoparticles', 'cytotoxicity', 'cancer cells', 'normal cells', 'anticancer activity', 'different therapies', 'photocatalytic therapy', 'anticancer drugs']"
